id	name	address	zip	city_hotel	cc1	ufi	class	currencycode	minrate	maxrate	preferred	nr_rooms	longitude	latitude	public_ranking	hotel_url	photo_url	desc_en	desc_fr	desc_es	desc_de	desc_nl	desc_it	desc_pt	desc_ja	desc_zh	desc_pl	city_unique	city_preferred	continent_id	
17742	Oakdene Guest House	99 Baron van Reede Street	6625	Oudtshoorn	za	-1270304	3.0	ZAR	750	1510		6	22.204281	-33.583062	33778	http://www.booking.com/hotel/za/oakdene-guest-house-oudtshoorn.html	http://aff.bstatic.com/images/hotel/org/112/1123328.jpg	This utterly charming Victorian home, one of the oldest houses in historic Oudtshoorn, has been lovingly restored and declared a National Monument.										oudtshoorn	Oudtshoorn	5	\

171361	Coral International Cape Town	Cnr Buitengracht and Wale Street	8001	Cape Town	za	-1217214	5.0	ZAR	900	12500		137	18.415962	-33.922004	98154	http://www.booking.com/hotel/za/coral-international-cape-town.html	http://aff.bstatic.com/images/hotel/org/196/1969851.jpg	Ideally located at the foot of Table Mountain, this 5-star hotel offers luxurious accommodation, on the border of Bo-Kaap and near V&A Waterfront.								坐落在Table山脚下，在Bo-Kaap边缘并靠近V&A海滨码头广场，这家五星级酒店提供豪华的住宿。  Coral International Cape Town酒店设有装饰精美的客房和套房，房内的设施包括豪华的床单、等离子电视、有线电视、高速有线和无线上网。每间套房还包括一个优雅舒适的起居区，部分还具有Table山或古老的Bo-Kaap区的景色。  酒店的阁楼设有先进的健身和水疗设施，以及2间国际美食餐厅。酒店内不供应酒水，但附近便设有酒吧。 ...		cape-town	Cape Town	5	\

171383	Knysna Stays	25 Old Toll Road	6571	Knysna	za	-1246436	4.0	ZAR	750	1350		7	23.07036	-34.03898	79142	http://www.booking.com/hotel/za/knysna-stays.html	http://aff.bstatic.com/images/hotel/org/215/2158300.jpg	Situated in Knysta town, this new 4-star establishment offers ideal accommodation close to Knysna Lagoon and it's many attractions and outdoor activities.  Knysna Stays offers suites and apartments with modern décor and furnishings.										knysna	Knysna	5	\

15505	Wild Rose Country Lodge	4 Bodrum Close,  Crofters Valley	7985	Noordhoek 	za	-1267194	4.0	ZAR	765	1600		6	18.38327	-34.11023	24584	http://www.booking.com/hotel/za/wild-rose-country-lodge.html	http://aff.bstatic.com/images/hotel/org/966/966307.jpg	Nestled between spectacular mountain scenery and the shores of the Atlantic Ocean, this stylish lodge beckons guests to marvel at unforgettable panoramic views.  Enjoy a glass of sherry upon arrival.										noordhoek	Noordhoek	5	\

15310	Crooked Tree Cottage	39 Hilken Drive	4319	Umhlanga	za	-1294257	3.0	ZAR	470	1200		6	31.0810679197311	-29.7226538559294	41305	http://www.booking.com/hotel/za/crooked-tree-cottage.html	http://aff.bstatic.com/images/hotel/org/154/1547385.jpg	Crooked Tree Cottage offers Bed & Breakfast or self-catering accommodation close to Umhlanga's beaches and a short drive from Durban and its famous Golden Mile.	Le cottage Crooked Tree Cottage propose un hébergement en B&B ou indépendant, à deux pas des plages d'Umhlanga, non loin de Durban et de son célèbre Golden Mile.  Cet établissement intime se compose de trois chambres et de trois appartements.				Il Crooked Tree Cottage offre sistemazioni con trattamento bed & breakfast o alloggi con angolo cottura vicino alle spiagge di Umhlanga e a breve distanza in auto da Durban e dal suo famoso Golden Mile.					umhlanga-rocks	Umhlanga	5	\

17627	18 on Crox Guest House	18 Croxteth Road	8005	Cape Town	za	-1217214	4.0	ZAR	1175	4000		4	18.4048	-33.9091	92293	http://www.booking.com/hotel/za/18-on-crox-guest-house.html	http://aff.bstatic.com/images/hotel/org/130/1306264.jpg	Designed with your comfort in mind, 18 on Crox Guest House is a great base for exploring Cape Town's many attractions.  Start the day with a swim in the pool, followed by breakfast in the courtyard.	La maison d'hôtes 18 on Crox Guest House, qui a été conçue pour vous assurer un niveau maximal de confort, constitue un excellent pied-à-terre pour partir à la découverte des différents sites du Cap.	Este boutique hotel, ubicado a las afueras del centro de Ciudad del Cabo, le seducirá con su encanto exclusivo e íntimo y su elegante lujo.	Das 18 on Crox Guest House legt größten Wert auf Komfort und ist ein idealer Ausgangspunkt zur Entdeckung der vielen Attraktionen Kapstadts.  Beginnen Sie Ihren Tag mit einer Runde im Pool bevor Sie Ihr Frühstück im Hof genießen.	Het 18 on Crox Guest House is ontworpen met uw comfort in gedachten en het vormt een uitstekende uitvalsbasis voor het verkennen van de vele bezienswaardigheden van Kaapstad.				在设计时已将住客的舒适考虑在内，18 on Crox宾馆是游览开普敦众多旅游景点的理想基地。  在游泳池游泳来开始您的一天，接下来在宾馆天井舒适地享受早餐。休息室是您18 on Crox宁静气氛的理想地点。  宾馆客房设计现代，配备豪华的家具。您可以在酒吧阅读报纸，或尽情使用您套房内的私人阳台。  整个酒店区域免费提供无线网络连接。除此之外，入住该酒店客房的客人可以使用个人电脑。		cape-town	Cape Town	5	\

28043	Sea Breeze Inn B&B	21 Capricorn Drive	6600	Plettenberg Bay	za	-1273101	4.0	ZAR	550	1300		3	23.3692181110382	-34.0868488542691	67271	http://www.booking.com/hotel/za/sea-breeze-inn.html	http://aff.bstatic.com/images/hotel/org/135/1352771.jpg	Located in a tranquil area of Plettenberg Bay, just a short stroll from scenic Robberg Beach, this family-run lodge presents guests with an exceptionally comfortable home-away-from-home.				Dit door een familie gerunde pension ligt in een rustig deel van Plettenbergbaai, op korte wandelafstand van het schilderachtige strand van Robberg. Geniet in deze lodge van een comfortabele, huiselijke sfeer.						plettenberg-bay	Plettenberg Bay	5	\

15564	Blackheath Lodge	6 Blackheath Road	8005	Cape Town	za	-1217214	4.0	ZAR	780	2650		10	18.3976793289185	-33.9102079034559	63575	http://www.booking.com/hotel/za/blackheath-lodge.html	http://aff.bstatic.com/images/hotel/org/998/998896.jpg	This is a 2-floor Victorian guest house below Signal Hill, close to the city, Waterfront and well-known beaches.			Das zweistöckige viktorianische Gästehaus liegt unterhalb des Signal Hill, nahe dem Stadtzentrum, dem Hafen und den berühmten Stränden.  Das 1880 erbaute Haus verfügt über großzügige Räume, hohe Decken und Holzböden.			Esta é uma casa de hóspedes vitoriana com 2 pisos abaixo de Signal Hill, próximo da cidade, da costa e de praias conhecidas.		这是一栋两层楼的维多利亚风格旅馆，在Signal Hill山之下，邻近城市、海滨和著名的沙滩。  酒店建于1880年代，设有宽敞的内部环境、高天花板和木地板， 最近经过重新装修，待有独特的非洲风格和魅力。酒店旨在为您提供时髦的客房、优越的个人化服务和温馨招待。  您可在俯瞰着泳池和花园的露台上享用早餐。在忙碌的一天杂外观光或经商之后，回到酒店享用一杯黄昏时分的鸡尾酒，并可享受安静舒适的睡眠。酒店也很乐意为您提供晚餐，或是日间到海滩或登山远足的野餐餐点。		cape-town	Cape Town	5	\

15488	Harbour House Hotel and Guest House	18 Harbour Road	7200	Hermanus	za	-1236784	4.0	ZAR	700	1495		18	19.279461	-34.411158	69466	http://www.booking.com/hotel/za/harbour-house-and-guest-house.html	http://aff.bstatic.com/images/hotel/org/902/902873.jpg	Positioned only a few metres from the water’s edge, at the heart of the Old Harbour, this deluxe 4-star hotel and guest house ensures guests an enjoyable stay.	Situé à quelques mètres du bord de l'eau, au cœur du vieux port, cet hôtel 4 étoiles et guest house vous assure un séjour agréable.	Ubicado a pocos metros del mar, en el corazón del antiguo puerto, este hotel de lujo de 4 estrellas ofrece un alojamiento agradable.								hermanus	Hermanus	5	\

